No_Causa,No_Efeito,Direcao,Causa_Original,Efeito_Original,Score_Relacao,Arquivo_Origem,Sentenca_Original
Consumo de Sal / Sódio,Pressão Arterial (PA),Causa -> Efeito,A associação da dieta DASH com restrição de sódio406,"em na PA sistólica ( PAS ) de 11,5 mmHg nos indivíduos hipertensos e 7,1 mmHg",11.98,OK Diretriz-HAS-2020.pdf,"A associação da dieta DASH com restrição de sódio406 resultou em redução na PA sistólica (PAS) de 11,5 mmHg nos indivíduos hipertensos e 7,1 mmHg nos normotensos, em comparação com a dieta com alto teor de sódio."
Fator de Risco,Hipertensão Arterial (HAS),Causa -> Efeito,a CC acima do marcador de risco,a chance de HAS,11.88,OK Distúrbios Respiratórios do Sono e HAS 2.pdf,"É evidenciado na literatura que a CC acima do marcador de risco aumenta a chance de HAS em 2,38 vezes, o sobrepeso em 5,11 vezes e a obesidade em 6,40 vezes, associados a isso, a presente pesquisa evidenciou que o aumento de 1cm na CC aumenta em 19% a chance de alto risco para SAHOS, e que pré-obesos e obesos grau"
Hipertensão Arterial (HAS),Pressão Arterial (PA),Causa -> Efeito,diversas linhas de pesquisas,para o desenvolvimento e uso das espécies vegetais disponíveis em nosso território,11.84,OK Síndrome Metabólica e HAS 3.pdf,"Além disso, diversas linhas de pesquisas têm contribuído significativamente para o desenvolvimento e uso das espécies vegetais disponíveis em nosso território."
Hipertensão Arterial (HAS),Pressão Arterial (PA),Causa -> Efeito,a HAS crônica na gravidez,"de 1,1 % para 1,7 % , e a pré-eclâmpsia / eclâmpsia de 0,9 % para 1,2 %",11.83,OK Diretrizes Medicamentos HAS OPAS OMS.pdf,"Por exemplo, nos Estados Unidos, entre 1998 e 2006, os distúrbios hipertensivos na gravidez aumentaram de 6,7% para 8,3%, a HAS crônica na gravidez aumentou de 1,1% para 1,7%, e a pré-eclâmpsia/eclâmpsia de 0,9% para 1,2%."
Dieta / Alimentação,Pressão Arterial (PA),Causa -> Efeito,"a suplementação de potássio , elemento abundante em dietas vegetarianas ,",a PA,11.82,OK Alimentação Vegetariana e HAS.pdf,"Metanálises de ensaios clínicos randomizados descreveram que a suplementação de potássio, elemento abundante em dietas vegetarianas, diminui a PA."
Pressão Arterial (PA),Dislipidemia / Colesterol,Causa -> Efeito,a do consumo de sal na dieta para valores mais baixos,um aumento significativo no colesterol e nos triglicerídeos plasmáticos,11.78,OK Pontes Sal e HAS.pdf,"Concomitantemente, a redução do consumo de sal na dieta para valores mais baixos acarretava um aumento significativo no colesterol e nos triglicerídeos plasmáticos."
Tabagismo,Pressão Arterial (PA),Causa -> Efeito,o tabagismo,para o desenvolvimento e a progressão da hipertensão,11.74,Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf,"Cessação do Tabagismo Parar de fumar é crucial, pois o tabagismo contribui para o desenvolvimento e a progressão da hipertensão e aumenta o risco de doenças cardiovasculares."
Consumo de Sal / Sódio,Pressão Arterial (PA),Causa -> Efeito,"a de apenas 1,3 g na quantidade de sódio consumida",uma de 5 mmHg na pressão arterial,11.73,OK Especiarias como sugestão de substituição do sal.pdf,"Acredita-se que a diminuição de apenas 1,3g na quantidade de sódio consumida diariamente ocasionaria uma redução de 5 mmHg na pressão arterial, resultando em redução de 20% na prevalência de hipertensão arterial (BORJES; TECHIO;"
Dieta / Alimentação,Fator de Risco,Causa -> Efeito,"As modificações no consumo alimentar , em associação com outros fatores relacionados ao estilo de vida moderno ,",o risco de desenvolvimento e agravamento das doenças crônicas não-transmissíveis ( DCNT ),11.69,OK Consumo alimentar e DCV.pdf,"As modificações no consumo alimentar, em associação com outros fatores relacionados ao estilo de vida moderno, aumentaram o risco de desenvolvimento e agravamento das doenças crônicas não-transmissíveis (DCNT), como as doenças cardiovasculares, diabetes mellitus tipo 2 (DM 2), obesidade, síndrome metabólica e alguns tipos de câncer ."
Diabetes / Glicemia,Fator de Risco,Causa -> Efeito,Hiperglicemia na gestação,o risco de morbidade materna e perinatal,11.65,OK manual_gestacao_alto_risco.pdf,"Hiperglicemia na gestação aumenta o risco de morbidade materna e perinatal, com repercussões em médio e longo prazo, tanto para a mãe como para o seu filho, conforme assinala o Quadro 1."
Agti,Fator de Risco,Causa -> Efeito,os AGTI,o risco de DCV,11.63,OK Acidosgraxotrans__ANVISA.pdf,"As principais conclusões obtidas por meio desta iniciativa foram: ✓ os AGTI aumentam o risco de DCV e não há um limite de consumo seguro destas substâncias; ✓ apesar do impacto positivo das medidas regulatórias da Anvisa e dos esforços realizados por certos segmentos do setor produtivo, os OGPH ainda estão presentes em produtos industrializados e nossa população ingere teores elevados destas substâncias;"
Pressão Arterial (PA),Hipertensão Arterial (HAS),Causa -> Efeito,"a repetição de medidas , em visitas separadas ,",a prevalência de hipertensão,11.57,OK HAS criança e adolescente.pdf,"Um artigo de revisão da Índia de 2013, aponta que a hipertensão do avental branco pode alterar os resultados das medidas de PA, e que a repetição de medidas, em visitas separadas, diminui a prevalência de hipertensão, mesmo quando usada a mesma metodologia ."
Consumo de Potássio,Pressão Arterial (PA),Causa -> Efeito,o aumento na ingestão de potássio,os níveis pressóricos,11.49,OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf,"Em contrapartida, os autores revelam que o aumento na ingestão de potássio diminui os níveis pressóricos."
Consumo de Potássio,Pressão Arterial (PA),Causa -> Efeito,o aumento na ingestão de potássio,os níveis pressóricos,11.49,OK Diretriz-HAS-2020.pdf,"De maneira inversa, o aumento na ingestão de potássio reduz os níveis pressóricos."
Consumo de Sal / Sódio,Fator de Risco,Causa -> Efeito,uma dieta rica em sódio,o risco de desenvolver HA e DCV,11.48,OK HAS criança e adolescente.pdf,"Apesar de não haver um grande número de estudos que relacionam a ingestão de sódio ao aumento dos níveis de PA em crianças, estudos com indivíduos adultos mostram que uma dieta rica em sódio aumenta o risco de desenvolver HA e DCV."
Doença Crônica,Pressão Arterial (PA),Causa -> Efeito,a doença crônica,para a expansão da medicina complementar,11.45,OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf,"A mudança do relacionamento médico e paciente, o uso excessivo de tecnologia e a incapacidade do sistema médico para tratar adequadamente a doença crônica contribuíram para a expansão da medicina complementar, atualmente denominada “medicina integrativa”, que utiliza o conhecimento científico acumulado para o tratamento pontual do paciente, permitindo ao profissional o uso de outras técnicas, além das clássicas."
Consumo de Sal / Sódio,Pressão Arterial (PA),Causa -> Efeito,Dietas com pouco sódio,a pressão arterial em pessoas normotensas brancas,11.44,OK Pontes Sal e HAS.pdf,"Dietas com pouco sódio reduziram a pressão arterial em pessoas normotensas brancas em menos de 1%, em compensação resultam em colesterol e triglicerídeos séricos"
Doenças Cardiovasculares (DVC),Pressão Arterial (PA),Causa -> Efeito,os fatores cardiovasculares,para o declínio na incidência de demência nos idosos,11.43,OK Óxido nítrico e HAS.pdf,"Foi observado que, nas últimas décadas, controlar os fatores cardiovasculares contribui para o declínio na incidência de demência nos idosos."
Obesidade / Sobrepeso,Hipertensão Arterial (HAS),Causa -> Efeito,o controle do grau de obesidade no grupo com má qualidade de sono,a associação entre insônia e hipertensão,11.42,OK Insônia e HAS.pdf,"Além disso, o controle do grau de obesidade no grupo com má qualidade de sono reduz a associação entre insônia e hipertensão."
Pressão Arterial (PA),Doenças Cardiovasculares (DVC),Causa -> Efeito,o tratamento com meta pressórica mais baixa em pessoas a partir de 65 anos,"considerável dos desfechos de doença renal crônica , infarto do miocárdio , acidente vascular cerebral e mortalidade por todas as causas e por DCV",11.41,OK Diretrizes Medicamentos HAS OPAS OMS.pdf,"O resumo dos resultados de uma revisão sistemática realizada por Murad et al., centrada em adultos a partir de 65 anos , sugere que o tratamento com meta pressórica mais baixa em pessoas a partir de 65 anos ocasiona redução considerável dos desfechos de doença renal crônica, infarto do miocárdio, acidente vascular cerebral e mortalidade por todas as causas e por DCV."
Obesidade / Sobrepeso,Hipertensão Arterial (HAS),Causa -> Efeito,A obesidade,"inflamação crônica que desencadeia alterações metabólicas como resistência insulínica , dislipidemias , hipertensão e diabetes",11.38,OK Síndrome Metabólica e HAS.pdf,"A obesidade promove inflamação crônica que desencadeia alterações metabólicas como resistência insulínica, dislipidemias, hipertensão e diabetes."
Pressão Arterial (PA),Doenças Cardiovasculares (DVC),Causa -> Efeito,Esse padrão,as chances de desenvolver doenças cardiovasculares,11.3,OK SAO sono e HAS.pdf,Esse padrão aumenta as chances de desenvolver doenças cardiovasculares.
Atividade Física / Sedentarismo,Pressão Arterial (PA),Causa -> Efeito,o exercício físico,para a melhoria nos sintomas das doenças relacionadas com a SM,11.28,OK Síndrome Metabólica e HAS 3.pdf,"Umas das principais alternativas escolhidas pelos entrevistados, é a prática de atividade física (Figura 8), para o tratamento das doenças relacionadas com a SM, considerada a forma de tratamento mais simples e que possui resultados satisfatórios, tendo em conta que o exercício físico contribui para a melhoria nos sintomas das doenças relacionadas com a SM, além de reduzir os riscos de doenças cardiovasculares."
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,a inclusão de participantes com hipertensão leve,o risco de um resultado falso negativo,11.24,OK Insônia e HAS.pdf,"McGrath afirmou, em seus experimentos de curto prazo, que um sono de qualidade não contribui para a melhora da pressão arterial, o que foi atribuído a três possíveis fatores: a hipótese inicial pode estar incorreta, isto é, não há relação causal entre insônia e hipertensão; a inclusão de participantes com hipertensão leve provavelmente aumentou o risco de um resultado falso negativo; ou o fato de que os efeitos foram avaliados a curto prazo."
Dislipidemia / Colesterol,Pressão Arterial (PA),Causa -> Efeito,a dislipidemia,para a doença vascular,11.23,OK ACT-Nicotina-NotaTecnica.pdf,"Metabolismo dos lipídeos Sabemos que a dislipidemia contribui para a doença vascular, que é muito prevalente no fumante136."
Pressão Arterial (PA),Doenças Cardiovasculares (DVC),Causa -> Efeito,Pressão arterial acima 120mmHg,o dano vascular e o risco cardiovascular,11.2,OK Diretriz-HAS-2020.pdf,Pressão arterial acima 120mmHg aumenta o dano vascular e o risco cardiovascular
Hipertensão Arterial (HAS),Fator de Risco,Causa -> Efeito,os distúrbios hipertensivos da gravidez,o risco CV a longo prazo,11.16,OK Diretrizes Medicamentos HAS OPAS OMS.pdf,"Mesmo com a redução efetiva da PA durante a gravidez e no período pós-parto imediato, os distúrbios hipertensivos da gravidez aumentam consideravelmente o risco CV a longo prazo, incluindo o risco futuro de HAS, doença coronariana e acidente vascular cerebral."
Consumo de Sal / Sódio,Hipertensão Arterial (HAS),Causa -> Efeito,a percepção do consumo de sal,a prevalência de HAS,11.16,OK Consumo alimentar e DCV.pdf,"Na análise ajustada pelas covariáveis (Tabela 3), a percepção do consumo elevado de sal aumentou a prevalência de HAS em 11%."
Pressão Arterial (PA),Doença Renal Crônica (DRC),Causa -> Efeito,a exposição a níveis pressóricos,os riscos do surgimento da doença renal crônica,11.03,OK DRC em hipertensos.pdf,"E ainda, a exposição a níveis pressóricos elevados aumentam os riscos do surgimento da doença renal crônica."
Pressão Arterial (PA),Doença Renal Crônica (DRC),Causa -> Efeito,a exposição a níveis pressóricos,os riscos do surgimento da doença renal crônica,11.03,OK DRC em hipertensos.pdf,"Os estudos demonstram que a exposição a níveis pressóricos elevados aumentam os riscos do surgimento da doença renal crônica como um importante desfecho cardiovascular, tendo em vista a interação entre o coração e o rim ."
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,Os Comitês de Ética em Pesquisa ( CEPs ) são compostos por pessoas que trabalham para que todos os projetos de pesquisa envolvendo seres humanos sejam,os benefícios e riscos,11.0,OK DRC em hipertensos.pdf,"Os Comitês de Ética em Pesquisa (CEPs) são compostos por pessoas que trabalham para que todos os projetos de pesquisa envolvendo seres humanos sejam aprovados de acordo com as elaboradas Ministério dos CEPs leva em consideração os benefícios e riscos, procurando minimizá-los e busca garantir que os participantes tenham acesso a todos os direitos assegurados pelas agências regulatórias."
Doença Crônica,Pressão Arterial (PA),Causa -> Efeito,a doença crônica,", atualmente denominada “ medicina integrativa ” , que utiliza o conhecimento científico acumulado para o tratamento pontual do paciente ,",10.94,OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf,"A mudança do relacionamento médico e paciente, o uso excessivo de tecnologia e a incapacidade do sistema médico para tratar adequadamente a doença crônica contribuíram para a expansão da medicina complementar, atualmente denominada “medicina integrativa”, que utiliza o conhecimento científico acumulado para o tratamento pontual do paciente, permitindo ao profissional o uso de outras técnicas, além das clássicas."
Hipertensão Arterial (HAS),Pressão Arterial (PA),Causa -> Efeito,a hipertensão primária,a prevalência entre pacientes pediátricos,10.79,OK HAS criança e adolescente.pdf,"Este resultado parece demonstrar que a exemplo da população adulta, a hipertensão primária tem aumentado a prevalência entre pacientes pediátricos, inclusive naqueles em que a hipertensão secundária costuma ser mais prevalente."
Atividade Física / Sedentarismo,Hipertensão Arterial (HAS),Causa -> Efeito,a atividade física,a incidência de HAS,10.75,hipertensao_principais_fatores.pdf,"Quanto ao sedentarismo, Ávila et al referem que a atividade física reduz a incidência de HAS em indivíduos pré-hipertensos além de reduzir a mortalidade e os riscos de desenvolver doenças"
Obesidade / Sobrepeso,Fator de Risco,Causa -> Efeito,a obesidade visceral,esse risco ( CHRISTEN et al,10.71,OK Síndrome Metabólica e HAS.pdf,"A distribuição da gordura corporal também tem grande influência sobre as alterações metabólicas, de forma que a obesidade visceral aumenta ainda mais esse risco (CHRISTEN et al., 2019;"
Obesidade / Sobrepeso,Doenças Cardiovasculares (DVC),Causa -> Efeito,a obesidade entre crianças e adolescentes nas macrorregiões brasileiras,de risco cardiovascular,10.56,OK Síndrome Metabólica e HAS.pdf,Fator de risco cardiovascular: a obesidade entre crianças e adolescentes nas macrorregiões brasileiras.
