Causa,Efeito,Tipo_Relacao,Frequencia
activity,great extent,general,2
activity tracker,physical activity,general,2
heat,reuptake,general,2
acute bout,elevated organelle turnover,general,2
acute bout,general autophagy,general,2
acute bout,mitophagy,general,2
acute exposure,aerobic or anaerobic performance,general,2
adap tation,strength gain,general,2
addi tional mechanism,different structure,general,2
addi tional mechanism,oxygen availability,general,2
heat,shear stress,general,2
adherence,superior outcome,general,2
high number,low input resistance,general,2
intramyocellular structural component,ﬁlamentous actin,general,2
compression,rapid burst,general,2
jacobs ra,de novo biogenesis,general,2
enhance activation,addition,general,2
enhance activation,increase force production,general,2
concept,discussion,general,2
enhance activation,training,general,2
enhance explosive i e high shortening velocity,remarkable power output,general,2
jacobs ra,skeletal muscle mitochon drial volume density,general,2
gold,performance,general,2
invention,new record,general,2
jacobsen s,multiple transcriptional change,general,2
age,population level,general,2
age,rise,general,2
ensue response pathway,misfolde,general,2
ensue response pathway,organelle health,general,2
ensue response pathway,protein load,general,2
jang c,spp1,general,2
hif-1a,pathway,general,2
hif-1a,transcription,general,2
hif-2a,muscle oxygen extraction,general,2
contractile activity,production,general,2
alcohol,latency,general,2
contractile activity,small fraction,general,2
hif-2a,provision,general,2
fiber,stool frequency,general,2
intramyocellular structural component,mechanosense,general,2
epigenetic mechanism,exercise - induce muscle plasticity,general,2
intramyocellular structural component,particular titin,general,2
intermittent fasting,sport performance,general,2
højbjerre l,multiple transcriptional change,general,2
alibegovic ac,multiple transcriptional change,general,2
coyle ef,resistance,general,2
individualized diet,fat mass,general,2
alter muscle metabolic capacity,circulate level,general,2
altitude paradigm,hb mass,general,2
fiber type distribution distinct property,performance,general,2
hippo pathway,mechanostress - induce muscle cell remod eling,general,2
hippo pathway,parallel,general,2
hiscock n,multiple transcriptional change,general,2
ampk,insulin sensitivity,general,2
ampk,mtor activity,general,2
ampk activation,general catabolic response,general,2
anabolic process,glycolysis,general,2
anabolic process,vascularization,general,2
histone modiﬁcation,nuclear rigidity,general,2
eventually indoor rink,new record,general,2
dahl j,athletic performance,general,2
dahl j,human life span,general,2
ansdell p,integrative response,general,2
dampen,furrer et al,general,2
anticipation,elevated sympathetic nervous system tone,general,2
ap-1,general stress response,general,2
dandanell s,de novo biogenesis,general,2
dandanell s,skeletal muscle mitochon drial volume density,general,2
de leur j,de novo biogenesis,general,2
de leur j,skeletal muscle mitochon drial volume density,general,2
arachidonic acid,ros production,general,2
decay rate,4 wk,general,2
decay rate,long,general,2
excessive exercise training,mitochondrial functional impair ment,general,2
associate cellular response,mechanical stress,general,2
associate cellular response,mechano-,general,2
associate cellular response,sense,general,2
attribute,increase rate,general,2
excessive muscle mass,parturition issue,general,2
dela f,multiple transcriptional change,general,2
excessive ros production,cardiovascular disease,general,2
deletion,prowess,general,2
excessive ros production,hyper-,general,2
excessive ros production,tumorigenesis,general,2
dense skin vascularization,thermoregulation,general,2
historical context,attainment,general,2
grow interdisciplinary merging,20 year,general,2
exchange,activation,general,2
excitation - contraction coupling nociceptor activation,furrer et al,general,2
grow interdisciplinary merging,milestone,general,2
exer cise,elevated activity,general,2
fluck d,de novo biogenesis,general,2
exer cise,level,general,2
baum o,skeletal muscle lipid refueling,general,2
device,normal range,general,2
fluck d,skeletal muscle mitochon drial volume density,general,2
individualized diet,randomize clinical trial,general,2
food intake,alteration,general,2
bedtime,sleep quality,general,2
beneﬁts,cellular damage,general,2
identiﬁcation,exam-,general,2
identiﬁcation,new deﬁ nition,general,2
iix ﬁbers,fold,general,2
increase,activation,general,2
bidirectional interac tion,link,general,2
hoppeler h,skeletal muscle lipid refueling,general,2
bind partner,coordinate transcriptional network control,general,2
bind partner,estrate,general,2
intermittent fasting,sport practice,general,2
high - response rat,average,general,2
exercise,delay - onset muscle,general,2
exercise,elevated catechol amine concentration,general,2
intramyocellular structural component,sarcomeric protein myosin,general,2
intermuscular coordination,level,general,2
intermyoﬁbrillar glycogen,20 25,general,2
intermyoﬁbrillar glycogen,60 65,general,2
frequency,taper,general,2
dietary fiber intervention,high abundance,general,2
body,range,general,2
exercise,inﬂammation,general,2
difference,distinct contractile property,general,2
bonne tc,de novo biogenesis,general,2
bonne tc,skeletal muscle mitochon drial volume density,general,2
friedrichsen m,multiple transcriptional change,general,2
different altitude - training regimen,change,general,2
different ca21 tran sient,speciﬁcity,general,2
bork - jensen j,multiple transcriptional change,general,2
muscle - strengthen ing activity,low risk,general,2
exercise,ness,general,2
intermyoﬁbrillar glycogen content,fast relaxation time,general,2
brain,anticipation,general,2
brain,expand cerebello - cerebralcortical circuitry,general,2
gut microbiota composition,biochemical parameter,general,2
bronze,performance,general,2
exercise,sore-,general,2
exercise,substantial increase,general,2
different mechanism,exercise,general,2
ca21,assembly,general,2
ca21,target structure,general,2
ca21 signal,control,general,2
different mechanism,exhaustion,general,2
different mechanism,muscle fatigue,general,2
different posttranslational modiﬁca tion,stiffness,general,2
gut microbiota composition,body weight,general,2
exercise,weight loss,general,2
gut microbiota composition,weight gain,general,2
capillary density,contrast,general,2
capillary density,training,general,2
hsf1,chaperone activity,general,2
hsf1,transcription,general,2
fruit and vegetable intake,subjective health,general,2
cardiac output,endurance training - induce increase,general,2
fuel availabil ity,observe boost ampka2 and ampka1 activity,general,2
carson,non - alcoholic fatty liver disease,general,2
case resistance training,radial growth,general,2
intermyoﬁbrillar glycogen content,ii ﬁber,general,2
function,skeletal muscle mass,general,2
exercise training,multitude,general,2
diversity,coordinate transcriptional network control,general,2
cellular redox state,pi3k - akt mtor,general,2
diversity,estrate,general,2
hauser m,de novo biogenesis,general,2
exercise-,future perspective,general,2
exercise-,mitochondrial biogenesis,general,2
exercise-,rent knowledge,general,2
hauser m,skeletal muscle mitochon drial volume density,general,2
fundamental metabolic change,complex atp adp amp nadh fad protein degradation synthesis ampk autophagy mtor,general,2
fusion,elongated mito chondrial tubular network,general,2
fusion,increase atp production,general,2
fusion,large mitochondrion,general,2
ducible ablation,body substrate utilization,general,2
ducible ablation,fatty acid,general,2
ducible ablation,mitochondrial respiration,general,2
ducible ablation,muscle glucose uptake,general,2
durance exercise,phosphorylation,general,2
fusion event,recovery phase,general,2
hb level,endurance training - induce increase,general,2
intermyoﬁbrillar glycogen content,type,general,2
kirk n,de novo biogenesis,general,2
kirk n,skeletal muscle mitochon drial volume density,general,2
large nasal epithelial area,thermoregulation,general,2
large surface area,low input resistance,general,2
larization,vo2max,general,2
larsen s,de novo biogenesis,general,2
larsen s,skeletal muscle mitochon drial volume density,general,2
lele,elite sprint power athlete,general,2
lele,explosive performance,general,2
lele,successful endurance capacity,general,2
lhth,intervention group,general,2
lhth,lhtl athlete,general,2
lhth,similar gain,general,2
lhtl,intervention group,general,2
lhtl,similar gain,general,2
llth performance,intervention group,general,2
llth performance,lhtl athlete,general,2
llth performance,similar gain,general,2
local and systemic fac tor,insulin - sensitive tissue,general,2
local and systemic fac tor,mark perturbation,general,2
long fascicle,great shortening velocity,general,2
loss,change,general,2
loss - of-,skeletal muscle mass,general,2
low muscle mass,evolutionary term,general,2
low muscle mass,reduction,general,2
low muscle mass,time,general,2
lysosomal recruitment,autophagy,general,2
lysosomal recruitment,catabolic path way,general,2
main efficacy,safety peg,general,2
mango,evacuation category,general,2
maximal force,remarkable power output,general,2
maximal isometric contraction atp turnover rate,fold,general,2
maximal work rate,group,general,2
mechanical strain,disruption,general,2
mechanical strain,t tubule,general,2
mechanical strain,uniformity and over stretch,general,2
mechanosense membrane rup ture stretch - activate channel,intracellular signal pathway,general,2
meinild lundby ak,de novo biogenesis,general,2
meinild lundby ak,skeletal muscle mitochon drial volume density,general,2
modality,delay - onset muscle,general,2
modality,inﬂammation,general,2
modality,ness,general,2
modality,sore-,general,2
modiﬁcation,associate cognitive sophisti cation,general,2
modiﬁcation,large brain size,general,2
morphological and functional parameter,concentrated localization,general,2
chromatin state,nuclear rigidity,general,2
morphological and functional parameter,fourth,general,2
morphological and functional parameter,number,general,2
morphological and functional parameter,prevention,general,2
morphological and functional parameter,strong enzymatic activity,general,2
motor,excitation - contraction coupling,general,2
motor neuron ﬁre,muscle contraction,general,2
mouth breathing,thermoregulation,general,2
multifaceted interaction,activity,general,2
muscle - speciﬁc knockout mouse,mitochondrial biogenesis,general,2
muscle - strengthen ing activity,mortality,general,2
muscle cell contraction,major metabolic remodeling,general,2
muscle glycogen concentration,preferential deple tion,general,2
muscle glycogen concentration,prolong exercise,general,2
muscle glycogen concentration,subcellular compartment,general,2
humoral factor,observe boost ampka2 and ampka1 activity,general,2
muscle stretch,rapid burst,general,2
muscle thickness,change,general,2
muscle thickness,contrast,general,2
muscle thickness,elite sprint athlete,general,2
nagarkatti,non - alcoholic fatty liver disease,general,2
nagy ja,spp1,general,2
neural adaptation,strength gain,general,2
neural and muscular adaptation,peak power,general,2
nilsson e,multiple transcriptional change,general,2
non - muscle - relate function,positive selection,general,2
nox2 - derive ros,trpcs,general,2
nuclear number,size,general,2
nuclear receptor,physiological response,general,2
osmotic shock,rapid burst,general,2
oxidative stress oxidative stress,mechanical stress,intra_mental,2
oxidative stress oxidative stress,mechano-,general,2
oxidative stress oxidative stress,sense,general,2
oxygen extrac tion,endurance training - induce increase,general,2
paradoxically cold - water immersion,delay - onset muscle,general,2
paradoxically cold - water immersion,inﬂammation,general,2
paradoxically cold - water immersion,ness,general,2
paradoxically cold - water immersion,sore-,general,2
pathway,training mode - speciﬁc manner,general,2
chronic change,transcriptional memory,general,2
perception,poor sleep quality,general,2
performance,retrogression,general,2
performance parame ter,intensiﬁed hit regimen,general,2
performance parame ter,transient impair ment,general,2
pgc-1a,muscle glucose uptake,general,2
pgc-1a - mediate pentose phosphate pathway activity,ribose-5 - phos phate,general,2
pgc-1a mrna,great extent,general,2
intensity,llth,general,2
gain,skeletal muscle mass,general,2
ziegler u,de novo biogenesis,general,2
physical activity,sleep quality,activity_to_sleep,2
physical deforma tion,release,general,2
physical deforma tion,stretch,general,2
physical dimension,determination,general,2
physiologi cal process,circadian manner,general,2
physiologi cal process,consequence,general,2
posttranslational modiﬁcation,dif-,general,2
posttranslational modiﬁcation,ferent property,general,2
poten tial trade - off,evolutionary process,general,2
power output,muscle,general,2
pro tein,gene expression,general,2
prolong en durance training,shift,general,2
prolong sustain activation,catabolic state,general,2
prolong sustain activation,lactic acidosis,general,2
prop ertie,all - or - none activation,general,2
protein synthesis,link,general,2
proteostatic stress,misfolde,general,2
proteostatic stress,organelle health,general,2
proteostatic stress,protein load,general,2
psyllium,stool frequency,general,2
psyllium fiber,glycemic control proportional,general,2
psyllium gel,chyme viscosity,general,2
pulmonary oxygen diffusion,endurance training - induce increase,general,2
raghuram s,spp1,general,2
recovery and repair mechanism,exercise cessation,general,2
recovery and repair mechanism,return,general,2
reduce body hair,thermoregulation,general,2
reduction,high excitatory drive,general,2
relate mechanism,exercise training,general,2
relate mechanism,muscle hypertrophy,general,2
relative abundance,parallel,general,2
remodeling,gene expression,general,2
repeat bout,continuous modulation,general,2
resistance,consequence,general,2
resistance exer cise volume,anabolic sig-,general,2
resistance exer cise volume,myoﬁbrillar protein synthesis,general,2
resistance training,change,general,2
resistance training,meta - analysis,general,2
ziegler u,skeletal muscle mitochon drial volume density,general,2
result,study,general,2
rowe gc,spp1,general,2
sailani mr halling jf møller hd lee h plomgaard p pilegaard h snyder mp regenberg b lifelong physical activity,contractile property,general,2
sailani mr halling jf møller hd lee h plomgaard p pilegaard h snyder mp regenberg b lifelong physical activity,myogenesis,general,2
sailani mr halling jf møller hd lee h plomgaard p pilegaard h snyder mp regenberg b lifelong physical activity,oxidative stress resistance,activity_to_mental,2
sailani mr halling jf møller hd lee h plomgaard p pilegaard h snyder mp regenberg b lifelong physical activity,promoter hypomethylation,general,2
santos g,skeletal muscle lipid refueling,general,2
satiroglu r inactivity,resistance,general,2
shift,activation,general,2
signal,adaptation,general,2
silver,performance,general,2
similar periodize training protocol,great gain,general,2
sleep component,improvement,general,2
sleep hygiene practice,course,general,2
ﬁber type - speciﬁc difference,erate,general,2
ﬁber type - speciﬁc difference,fatigable ﬁber,general,2
smartphone application,physical activity,general,2
smoking,occurrence,general,2
sonne mp,multiple transcriptional change,general,2
stallknecht b,multiple transcriptional change,general,2
stream effector rheb,activation,general,2
strength,fat mass,general,2
strength,randomize clinical trial,general,2
strength power,size,general,2
stroke vol ume,volitional exhaustion,general,2
suboptimal planning,increase,general,2
subsarcolemmal,20 25,general,2
subsarcolemmal,60 65,general,2
successful weight management,overall health,general,2
summermatter s,skeletal muscle lipid refueling,general,2
sustain activation,constitutive,general,2
sustain activation,starvation-,general,2
synaptic input,great change,general,2
testosterone,different type,general,2
text,recovery or performance outcome,general,2
thermal stress,misfolde,general,2
training,size,general,2
training intensity,great adaptation,general,2
training volume,great adaptation,general,2
tran scription,single bout,general,2
transcription factor movement,future perspective,general,2
transcription factor movement,mitochondrial biogenesis,general,2
transcription factor movement,rent knowledge,general,2
transient and subtle perturbation,broad downstream effect,general,2
twenty-ﬁrst century life style,high ﬁnancial burden,general,2
twenty-ﬁrst century life style,rise,general,2
twice - a day training protocol,content,general,2
twice - a day training protocol,muscle glycogen content,general,2
understand,personalization,general,2
understudied approach,detrimental outcome,general,2
understudied approach,occasion,general,2
undisputedly genetic predisposition,athletic prowess,general,2
undisputedly genetic predisposition,trainability,general,2
utilization,endurance training - induce increase,general,2
vaag a insulin resistance,multiple transcriptional change,general,2
vascularization,endurance training - induce increase,general,2
velocity,neural,general,2
vitamin d,proper function,general,2
vo2max,10 15,general,2
vo2max,2 3 mo,general,2
vo2max,group level,general,2
volume,taper,general,2
voluntary exercise,range,general,2
wearable,precise measurement,general,2
wmax,group,general,2
1alpha,exercise - induce regulation,general,2
yang r,elite chinese sprint power ath lete,general,2
yang r,muscle - relate phenotype,general,2
composition,permeability,general,1
computer monitor,significantly low melatonin concentration,general,1
con-,low grade,general,1
con-,low level,general,1
conclusion,high fecal abundance,general,1
concurrent strength,fast - force production,general,1
concurrent strength,parameter,general,1
concurvity,model performance,general,1
consequently the incidence,age,general,1
consistent melatonin use,low rebound rate,general,1
constipa tion,complication,general,1
constipation,large economic burden,general,1
constipation status,high risk,general,1
consumption,effect,general,1
consumption,great weight and fat loss than tra ditional reduce - calorie diet,general,1
consumption,overall energy intake 37,general,1
consumption,ﬁrst 6 month,general,1
contribution,muscular oxidative capacity,general,1
conventional strength training,muscle csa,general,1
core strengthen exercise,54 55,general,1
core strengthen exercise,colonic transit time,general,1
corsi,amyloid - β1 40 clearance,general,1
counter pathological stimulus,apoptosis,general,1
counter pathological stimulus,gradual dysfunction,general,1
crease,oxida tive stress,general,1
crswd,psychiatric and neurological disorder,general,1
current smoking habit,50 52,general,1
cvd 69 70 obesity,malignant transformation,general,1
d m probiotic supplementation,cognitive function,general,1
d m probiotic supplementation,randomize double - blind placebo - control multicenter trial,general,1
d nutritional weight history,excessive or disordered eating,general,1
daily variation,time,general,1
decrease energy availability,non - functional overreaching,general,1
defect,development,general,1
deletion,defective autophagy,general,1
denou,diversity,general,1
denou,metabolic capacity,general,1
depressive state,relationship,general,1
deprive lifestyle,poor health,general,1
derosa g,dyslipidaemia,general,1
derosa g,hyperglycaemia,general,1
derosa g,hypertension,general,1
deterioration,increase incidence,general,1
development,diagnosis,general,1
development,quality,general,1
di etary fat intake,ﬂammatory bowel disease,general,1
diabetes,cel lular age,general,1
diarrhea,large economic burden,general,1
diet,nutritional proﬁle,general,1
diet,poor diet quality,intra_nutrition,1
diet - induce obesity,mark but reversible alteration,general,1
diet - mediate alteration,breakthrough,general,1
diet - mediate alteration,contrast,general,1
dietary and functional ﬁber supplementation,reduction,general,1
dietary and functional ﬁber supplementation,signiﬁcant increase,general,1
dietary behavior,long - term health outcome,general,1
dietary fiber,icantly low α - diversity,general,1
dietary fiber,signif icantly great bifidobacterium spp,general,1
dietary fiber,signif-,general,1
dietary fiber,significantly great lactobacillus spp,general,1
dietary fiber,significantly high bifidobacterium spp,general,1
dietary fiber,significantly high lactobacillus spp,general,1
dietary fiber intervention,high fecal abundance,general,1
different - day concurrent training,great magnitude,general,1
different caffeine administration time,differential sleep disruption,general,1
different external and internal factor,function,general,1
different external and internal factor,gm composition,general,1
different factor,great difference,general,1
different fasting practice,body weight,general,1
different fasting practice,fat7 27,general,1
different type,aspect,general,1
different type,gastrointestinal motility,general,1
diphenylmethane derivative,signiﬁcantly great incidence,general,1
disease,function,general,1
disease,protein,general,1
disease,specific gm composition,general,1
disorder,age bracket,general,1
disorder,clearly define symptom,general,1
disorder,excessive sleepiness,general,1
display,increase risk,general,1
disruption,increase invasion,general,1
distribution,symptom similarity bin,general,1
diwkj1,similar increase,general,1
dld1,cathelicidin expression,general,1
dominant gut flora,exercise intervention,general,1
dougherty u,experimental colitis,general,1
drink 6 fast,increase longevity,general,1
drink 6 fast,role,general,1
du j,experimental colitis,general,1
dual activation,glucose metabolism,general,1
dual activation,lipid,general,1
duration,interference,general,1
duration,lack,general,1
duration,laparoscopic,general,1
dysbiosis,chronic constipation development,general,1
dysbiosis,elevated level,general,1
dysbiosis,regulation,general,1
dysfunction,secretion,general,1
dysregulation,adult osteomalacia,general,1
dysregulation,infantile ricket,general,1
dysregulation,uncontrolled activation,general,1
e continuous running and sprint interval,maximal s,general,1
e continuous running and sprint interval,power,general,1
e endurance,force production,general,1
early childhood teacher,personal resilience,general,1
effectiveness,time,general,1
el sistema de vigilancia de salud ambiental también,mayor molestia,general,1
electronic device use,melatonin secretion,general,1
eliasson m,obesity,general,1
eliasson m,ter,general,1
en vironmental noise,individual,general,1
endocrine response,magnitude,general,1
endurance training,fast - force production,general,1
endurance training,strength development,general,1
energy density,energy intake,general,1
engagement,duan et al,general,1
engagement,quality,general,1
engagement,sleep quality,general,1
engagement,subjective frontier,general,1
enhance fat oxidation,improvement,general,1
enos,non - alcoholic fatty liver disease,general,1
ensue cramp pain,osmotic laxative,general,1
ensue luminal dis tention,colonic peristalsis,general,1
entry,concentration,general,1
environment,gm composition,general,1
environment,high prevalence,general,1
environmental factor,microbial diversity,general,1
environmental factor,variation,general,1
environmental pollutant,poor quality sleep health,general,1
epigallocatechin-3 - gallate egcg,glucose uptake,general,1
epithelial vdr induction,disease activity 124,general,1
ercise,biological age,general,1
erratic schedule,poor food choice,general,1
específicamente,como tal,general,1
específicamente,continuidad y,general,1
evacuation,baseline,general,1
evacuation,mango,general,1
evening exposure,circadian physiology,general,1
evening exposure,cognitive perfor mance,general,1
excessive sleepiness,context,general,1
excessive sleepiness,work schedule,general,1
exer cise,2 - fold peak oxygen consumption,general,1
exer cise,functional ability,general,1
exer cise training,crp level,general,1
exercise,1 4 kg,general,1
exercise,12 week,general,1
exercise,3 kg weight loss,general,1
exercise,30 week,general,1
exercise,alfa diversity,general,1
exercise,body s need,general,1
exercise,body weight,general,1
exercise,c - reactive protein,general,1
exercise,cardiorespiratory func tion,general,1
exercise,fat distribution,general,1
exercise,fat mass,general,1
exercise,free fat mass,general,1
exercise,glucose metabolism,general,1
exercise,hyper trophy,general,1
exercise,meta - analysis study,general,1
exercise,metabolism,general,1
exercise,phase advancement,general,1
exercise,positive improvement,general,1
exercise,weight gain,general,1
exercise interven tion,alfa,general,1
exercise interven tion,beta diversity,general,1
exercise intervention,abundance,general,1
exercise intervention,alpha diversity,general,1
exercise intervention,reduction,general,1
exercise intervention,result,general,1
exercise training,antioxidant enzyme activity,general,1
exercise training,biological age,general,1
exercise training,contrast,general,1
exercise training,regulation,general,1
exogenous dose,rem sleep time,general,1
expectation,symptom,general,1
experimental ibd 19 20 impaired vdr signal,damage,general,1
experimental ibd 19 20 impaired vdr signal,mucosal inﬂammation,general,1
explosive con repetition velocity,great rate,general,1
exposure,increase odd,general,1
exposure,melatonin secretion,general,1
extract,insulin resistance,general,1
f j exercise training,randomize control trial,general,1
f j exercise training,sleep quality,activity_to_sleep,1
facility,viral transmission,general,1
factor,constipation,general,1
factor,interaction,general,1
factor,magnitude,general,1
fast,coordinate set,general,1
fast,speciﬁc physiological adaptation,general,1
fast 1 1 and moderate to slow 3 3 velocity,similar change,general,1
fast 210 - isj1 ecc isokinetic training,large increase,general,1
fast and ketogenic diet,ketogenesi,general,1
fat intake,high value,general,1
favor able result,change,general,1
favor able result,parallel,general,1
fedewa,adiposity,general,1
fedewa,aerobic capacity,general,1
feirtag j chicory inulin,stool weight,general,1
feng peng,conception,general,1
feng peng,design,general,1
fer mentable ﬁber,laxation,general,1
fermentable fiber,stool bulk,general,1
fermentable ﬁber,short - chain fatty acid,general,1
fermentation,microbiota modification,general,1
fermentation,production,general,1
ffa level,activation,general,1
fgf23,downstream signal pathway,general,1
fiber,alteration,general,1
fiber,flatulence,general,1
fiber,increase flatulence,general,1
fiber,likelihood,general,1
fiber,severity,general,1
fiber,stool bulk,general,1
fiber,stool consistency,general,1
fiber,stool water content,general,1
fiber,stool weight,general,1
fiber interven tion,significantly high fecal concentration,general,1
fiber intervention,significantly high bifidobacterium spp,general,1
fiber supplementation,moderate gastrointestinal side effect,general,1
fibre intake,different subtype,general,1
fibre intake,relationship,general,1
figure 2 112 vitamin d,nucleotide - bind oligo merization domain protein,general,1
figure 2 112 vitamin d,result,general,1
figure 2 88 myosin light chain kinase,actomyosin ring contraction,general,1
finding ultra - process food consumption,increase odd,general,1
finegold s,bifidobacteria,general,1
food,safety fruit - base laxative kiwi,general,1
food intake,sleep quality variable,general,1
fourth randomized crossover study,acute diarrhea,general,1
free - weight training,great improvement,general,1
free fatty acid oxidation rate,exercise,general,1
free radical,oxidative phosphorylation,general,1
free weight,machine,general,1
free weight,pattern,general,1
frequency,great bedroom thermal satisfaction,general,1
frequency,improvement,general,1
frequency,mental health diagnosis,general,1
frequency,perceive improve ment,general,1
fructan,significantly great abundance,general,1
fructooligosaccharide,alteration,general,1
fruit - base laxative,colonic volume,general,1
fruit - base laxative,intestinal water retention,general,1
fruit and vegetable intake,increase quality,general,1
fruit and vegetable intake,low mortality,general,1
fruit and vegetable intake,sleep quality,general,1
fuhrmann h,faecal microbiota,general,1
functional ﬁber,food intake 33 34,general,1
functional ﬁber,sati-,general,1
gabapentin,sleep,general,1
gaddi a psyllium,dyslipidaemia,general,1
gaddi a psyllium,hyperglycaemia,general,1
gaddi a psyllium,hypertension,general,1
gain outcome,current knowledge,general,1
galacto oligosaccharide,significantly great abundance,general,1
gender,relationship,general,1
genetic factor,syndrome40,general,1
ghalim n,mark increase,general,1
gi symptom,low - fiber toast,general,1
gi symptom,rye bread,general,1
gibbs al,ability,general,1
glucagon - like peptide,health effect,general,1
golan ma,experimental colitis,general,1
gonzalez - badillo jj,favor able strength gain,general,1
good sleep quality,high intake,general,1
grain consumption,blood biochemistry,general,1
grain consumption,body composition,general,1
gram - negative bacteria,tlr4,general,1
great adherence,reduce con-,general,1
great alpha diversity,gut health,general,1
great force,ecc action,general,1
great treatment duration,fiber and chronic constipation 963 figure 3 forest plot,general,1
great upf consumption,95 ci,general,1
great upf consumption,high intake,general,1
great upf consumption,high odd,general,1
great upf consumption,low socioeconomic status,general,1
great upf consumption,male sex,general,1
great upf consumption,unhealthy lifestyle,general,1
great upf consumption,young age,general,1
group,symptom score,general,1
guar gum,2 month,general,1
guar gum,body weight,general,1
guar gum,initial weight loss,general,1
gurven m,arterial aging,general,1
gurven m,cardiovascular disease risk factor,general,1
gut micro biota,antiobesity effect,general,1
gut microbiome,biotin,general,1
gut microbiome,development,general,1
gut microbiome,folic acid,general,1
gut microbiome,niacin,general,1
gut microbiome,vitamin k,general,1
gut microbiome alteration,antibiotic tolerance,general,1
gut microbiota,regulatory cytokine,general,1
gut microbiota richness,stability,general,1
hanauer sb,experimental colitis,general,1
hasegawa s,management,general,1
health,rela tively minor weight loss,general,1
health complication,uncontrollable increase,general,1
heartfulness meditation,sleep,mental_to_sleep,1
heartfulness meditation,usa abstract background,general,1
heavy rt,maximal force production,general,1
heavy rt,power output,general,1
heiskanen,insulin - stimulate glucose uptake,general,1
help,growth,general,1
henle t,faecal microbiota,general,1
hepatocyte bhb signal,myocyte glucose uptake,general,1
hesketh,cardiorespiratory fitness,general,1
higgins,adiposity,general,1
higgins,aerobic capacity,general,1
high - dose psyllium,directional decrease,general,1
high - fat breakfast con sumer,high bmis,general,1
high - fat diet,homeostasis,general,1
high - fat diet,incidence,general,1
high - fat diet,lipid content,general,1
high - fat diet,signiﬁcant disruption,general,1
high - fiber diet,bleed,general,1
high - fiber diet,bowel movement frequency,general,1
high - fiber diet,double - blind trial,general,1
high - fiber diet,pain,general,1
high - fiber rye bread,bowel function,general,1
high - intensity interval training,insulin sensitivity,general,1
high - intensity vigorous exercise,imbalance,general,1
high - level pa,total colonic transit time,general,1
high - qual ity diet,bowel regularity,general,1
high - velocity resistance training,skeletal muscle peak power,general,1
high abundance,poor microbiota,general,1
high dairy diet intervention,fat mass loss,general,1
high dairy diet intervention,great body weight,general,1
high fat ratio,metabolic dysfunction,general,1
high fiber dose,stool consistency,general,1
high frequency,high perceive improvement,general,1
high frequency,perceive great improvement,general,1
high frequency,self - report mental health improvement,general,1
high intensity interval training,fat distribution,general,1
high level,improve insulin sensitivity,general,1
high pa level,reduction,general,1
high sodium and sugar intake,likelihood,general,1
high the level,short tls 17,general,1
high volume,interfer ence,general,1
high volume load,large magnitude,general,1
high wcs,age adjustment,general,1
high wcs,short telomere,general,1
hiit,1 89,general,1
hiit,2 03,general,1
hiit,improvement,general,1
hiit,meaningful reduction,general,1
holdemanella,unhealthy lifestyle,general,1
holloway,glycemia,general,1
holloway,vo2peak,general,1
homoki,obesity mouse model,general,1
hood,muscle oxidative capacity,general,1
hormonal contraceptive use,body composition adaptation,general,1
hormonal contraceptive use,endurance,general,1
hormonal contraceptive use,group level,general,1
hormonal contraceptive use,small decrease,general,1
