tipo_marcador,lema_marcador,causa,marcador,efeito,direcao,sentenca_original,arquivo_origem
verbo,resultar,Esses hábitos,resultam,", a obesidade e a dislipidemia , os quais , no presente estudo , apresentaram associação significativa com hipertensão arterial , importante causa conhecida de morbimortalidade em adultos , no Brasil e no mundo",Causa -> Efeito,"Esses hábitos resultam em problemas de saúde como o diabetes mellitus, a obesidade e a dislipidemia, os quais, no presente estudo, apresentaram associação significativa com hipertensão arterial, importante causa conhecida de morbimortalidade em adultos, no Brasil e no mundo.",hipertensao_riscos.pdf
verbo,promover,A substituição de anticoncepcionais hormonais orais por outros métodos contraceptivos,promove,a da pressão arterial em pacientes hipertensas,Causa -> Efeito,A substituição de anticoncepcionais hormonais orais por outros métodos contraceptivos promove a redução da pressão arterial em pacientes hipertensas .,OK NÃO TRATAMENTOS+PARA+HIPERTENSÃO+ARTERIAL+EM+ADULTOS.pdf
verbo,levar,as 11 perguntas,levaram,à formulação de oito recomendações,Causa -> Efeito,"Algumas estruturas de evidência à decisão foram consolidadas para oferecer recomendações mais práticas e implementáveis do ponto de vista do usuário final; desse modo, as 11 perguntas levaram à formulação de oito recomendações.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,levar,os exames,levariam,a uma economia,Causa -> Efeito,Não se sabe se os exames levariam a uma economia ou se seriam custo-efetivos.,OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,provocar,As três classes,provocaram,"eventos adversos pouco frequentes , geralmente leves e que podem ser administrados",Causa -> Efeito,"As três classes provocaram eventos adversos pouco frequentes, geralmente leves e que podem ser administrados; outra possibilidade é a substituição por outro fármaco.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,provocar,As três classes,provocaram,outra possibilidade é a substituição por outro fármaco,Causa -> Efeito,"As três classes provocaram eventos adversos pouco frequentes, geralmente leves e que podem ser administrados; outra possibilidade é a substituição por outro fármaco.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,reduzir,o tratamento,reduz,as iniquidades,Causa -> Efeito,"Considerando-se a ampla literatura sobre disparidades na adesão aos esquemas medicamentosos anti-hipertensivos e desfechos cardiovasculares conforme a raça ou a condição socioeconômica, avaliou-se que o tratamento reduz as iniquidades em saúde.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,produzir,A terapia combinada,produziu,maior da PAS,Causa -> Efeito,"A terapia combinada produziu maior redução da PAS que a monoterapia (p. ex., associação de BCC e BRA em doses habituais x BCC em altas doses; ou associação de IECA e BRA x qualquer classe de fármaco em monoterapia) e menos eventos adversos (associação de BCC e BRA em doses habituais x BCC em altas doses).",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,produzir,A terapia combinada,produziu,x BCC,Causa -> Efeito,"A terapia combinada produziu maior redução da PAS que a monoterapia (p. ex., associação de BCC e BRA em doses habituais x BCC em altas doses; ou associação de IECA e BRA x qualquer classe de fármaco em monoterapia) e menos eventos adversos (associação de BCC e BRA em doses habituais x BCC em altas doses).",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,acarretar,a simplificação da posologia,acarreta,melhoria considerável da adesão terapêutica,Causa -> Efeito,"Uma segunda revisão sistemática demonstrou que a simplificação da posologia acarreta melhoria considerável da adesão terapêutica, variando de 6% a 20% .",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,acarretar,a simplificação da posologia,acarreta,considerável melhoria da adesão ao tratamento medicamentoso,Causa -> Efeito,"Uma revisão sistemática demonstrou que a simplificação da posologia acarreta considerável melhoria da adesão ao tratamento medicamentoso, variando de 6% a 20% .",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,aumentar,a combinação em comprimido único,aumenta,a adesão e a persistência terapêutica,Causa -> Efeito,"Tendo em vista que a combinação em comprimido único aumenta a adesão e a persistência terapêutica, o que poderia melhorar as taxas de controle da HAS e diminuir os principais eventos clínicos, espera-se que haja um impacto favorável sobre a equidade em saúde.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,ocasionar,o tratamento com meta pressórica mais baixa em pessoas a partir de 65 anos,ocasiona,"considerável dos desfechos de doença renal crônica , infarto do miocárdio , acidente vascular cerebral e mortalidade por todas as causas e por DCV",Causa -> Efeito,"O resumo dos resultados de uma revisão sistemática realizada por Murad et al., centrada em adultos a partir de 65 anos , sugere que o tratamento com meta pressórica mais baixa em pessoas a partir de 65 anos ocasiona redução considerável dos desfechos de doença renal crônica, infarto do miocárdio, acidente vascular cerebral e mortalidade por todas as causas e por DCV.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,levar,Nenhuma dessas metanálises,levou,o alto risco dos pacientes inscritos nos ensaios disponíveis,Causa -> Efeito,"Nenhuma dessas metanálises levou em conta o alto risco dos pacientes inscritos nos ensaios disponíveis – pelo menos no SPRINT e no ACCORD (11, 61).",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,aumentar,O tratamento intensivo de determinados pacientes,aumenta,a complexidade para os trabalhadores da saúde,Causa -> Efeito,O tratamento intensivo de determinados pacientes aumenta a complexidade para os trabalhadores da saúde; a ênfase no trabalho de equipe como base para a atenção em contextos de poucos recursos demanda uma atenção simples e protocolizada.,OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,reduzir,O tratamento da HAS,reduzirá,a iniquidade,Causa -> Efeito,O tratamento da HAS reduzirá a iniquidade em saúde porque a prevenção de eventos CV reduz a mortalidade em toda a população.,OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,reduzir,porque a prevenção de eventos CV,reduz,a mortalidade,Causa -> Efeito,O tratamento da HAS reduzirá a iniquidade em saúde porque a prevenção de eventos CV reduz a mortalidade em toda a população.,OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,acarretar,"o manejo intensivo da HAS anteriormente descontrolada ,",acarretou,uma razão adicional de custo-efetividade de AUD 2.588,Causa -> Efeito,"Um estudo de custo-efetividade do rastreamento e manejo ideal de HAS, diabetes mellitus e doença renal crônica na Austrália constatou que o manejo intensivo da HAS anteriormente descontrolada, quando comparado ao tratamento habitual, acarretou uma razão adicional de custo-efetividade de AUD 2.588.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,acarretar,intervalos maiores,acarretem,a perda de acompanhamento,Causa -> Efeito,Acredita-se que intervalos maiores acarretem a perda de acompanhamento.,OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,levar,a atenção por farmacêuticos,levou,"a um melhor controle da PA ( risco relativo de 1,44",Causa -> Efeito,"mostrou que a atenção por farmacêuticos levou a um melhor controle da PA (risco relativo de 1,44, ou mais 170 controlados por 1 000) sem diferenças óbvias nos critérios de adesão, eventos clínicos ou qualidade de vida .",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,levar,o compartilhamento de tarefas com farmacêuticos,levou,"a de 8 mmHg da PAS e 3,74 mmHg da PAD",Causa -> Efeito,"Uma revisão sistemática realizada por Anand mostrou que, em PBR e PMR, o compartilhamento de tarefas com farmacêuticos levou a reduções de 8 mmHg da PAS e 3,74 mmHg da PAD.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,levar,o automonitoramento pelos pacientes,levou,"a uma de 3,24 mmHg da PAS e de 1,5 mmHg da PAD , ambas estatisticamente significantes , e a um melhor controle da PA ,",Causa -> Efeito,"Em termos de automanejo, uma revisão sistemática realizada por Tucker mostra que o automonitoramento pelos pacientes levou a uma diminuição de 3,24 mmHg da PAS e de 1,5 mmHg da PAD, ambas estatisticamente significantes, e a um melhor controle da PA, desde que um ACS fizesse a administração remota do automonitoramento.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,levar,Informações limitadas,levaram,a resultados heterogêneos,Causa -> Efeito,"Informações limitadas levaram a resultados heterogêneos, mostrando que determinados pacientes gostavam de alguns aplicativos de automanejo, enquanto outros temiam que o manejo por outros profissionais pudesse prejudicar a relação médico-paciente, mas esses comentários estavam relacionados ao uso de dispositivos de monitoramento domiciliar.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,aumentar,a delegação de tarefas no setor público,aumenta,o acesso daqueles que usam a saúde pública em vez da saúde privada,Causa -> Efeito,"Em princípio, as iniquidades em saúde são reduzidas, pois a delegação de tarefas no setor público aumenta o acesso daqueles que usam a saúde pública em vez da saúde privada.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,aumentar,a hipertensão,aumenta,"o risco de COVID-19 grave , definida como internação em terapia intensiva , gravidade clínica",Causa -> Efeito,"Quase todas as evidências disponíveis sugerem que a hipertensão aumenta o risco de COVID-19 grave, definida como internação em terapia intensiva, gravidade clínica, ambas ou mortalidade.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,aumentar,os IECA ou BRA,aumentam,o risco de contrair COVID-19,Causa -> Efeito,Não foram encontrados estudos delineados para avaliar diretamente se os IECA ou BRA aumentam o risco de contrair COVID-19.,OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,aumentar,a HAS crônica na gravidez,aumentou,"de 1,1 % para 1,7 % , e a pré-eclâmpsia / eclâmpsia de 0,9 % para 1,2 %",Causa -> Efeito,"Por exemplo, nos Estados Unidos, entre 1998 e 2006, os distúrbios hipertensivos na gravidez aumentaram de 6,7% para 8,3%, a HAS crônica na gravidez aumentou de 1,1% para 1,7%, e a pré-eclâmpsia/eclâmpsia de 0,9% para 1,2%.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,aumentar,os distúrbios hipertensivos da gravidez,aumentam,o risco CV a longo prazo,Causa -> Efeito,"Mesmo com a redução efetiva da PA durante a gravidez e no período pós-parto imediato, os distúrbios hipertensivos da gravidez aumentam consideravelmente o risco CV a longo prazo, incluindo o risco futuro de HAS, doença coronariana e acidente vascular cerebral.",OK Diretrizes Medicamentos HAS OPAS OMS.pdf
verbo,levar,uma estratégia farmacogenética baseada na escolha do melhor fármaco para cada indivíduo,levaria,a uma melhor relação custo-benefício e melhor controle da pressão arterial,Causa -> Efeito,"Assim, uma estratégia farmacogenética baseada na escolha do melhor fármaco para cada indivíduo levaria a uma melhor relação custo-benefício e melhor controle da pressão arterial, ajudando a prevenir eventos cardiovasculares.",OK Polimorfismos ECA e anti_hipertensivos.pdf
verbo,contribuir,o aumento da expectativa de vida da população,contribui,para a dos índices de HA,Causa -> Efeito,"Sendo assim, o aumento da expectativa de vida da população contribui para a elevação dos índices de HA e esse é um desafio de saúde pública .",OK Polimorfismos ECA e anti_hipertensivos.pdf
verbo,levar,a realização de exercício físico aeróbico regular,leva,"à uma de 3,0 mmHg na PAS e de 2,4mmHg na PAD",Causa -> Efeito,"Diversos estudos trazem como resultados que a prática frequente de atividade física é uma medida importante para a prevenção e tratamento da HA, sendo que a realização de exercício físico aeróbico regular leva à uma redução de 3,0 mmHg na PAS e de 2,4mmHg na PAD",OK Polimorfismos ECA e anti_hipertensivos.pdf
verbo,levar,Variações nesses fatores,levam,a ocorrência da HA,Causa -> Efeito,Variações nesses fatores levam a ocorrência da HA.,OK Polimorfismos ECA e anti_hipertensivos.pdf
verbo,reduzir,a abordagem baseada na terapia geneticamente guiada para hipertensão com o uso de um painel multigênico,reduz,os custos totais de 3 anos,Causa -> Efeito,"De acordo com as estimativas, a abordagem baseada na terapia geneticamente guiada para hipertensão com o uso de um painel multigênico reduz os custos totais de 3 anos em 47%; e 89% destes fármacos estão relacionados à prevenção de eventos adversos específicos .",OK Polimorfismos ECA e anti_hipertensivos.pdf
verbo,aumentar,de média adesão,aumenta,a chance de ser MR em comparação,Causa -> Efeito,"Dessa forma, ser classificado como de média adesão aumenta em 3.72 vezes a chance de ser MR em comparação a classificação de alta adesão.",OK Polimorfismos ECA e anti_hipertensivos.pdf
verbo,aumentar,de média adesão,aumenta,a classificação de alta adesão,Causa -> Efeito,"Dessa forma, ser classificado como de média adesão aumenta em 3.72 vezes a chance de ser MR em comparação a classificação de alta adesão.",OK Polimorfismos ECA e anti_hipertensivos.pdf
verbo,reduzir,O objetivo do tratamento medicamentoso da HAR,reduzir,o risco CV,Causa -> Efeito,"O objetivo do tratamento medicamentoso da HAR é reduzir o risco CV e por isso, frequentemente, é utilizada a associação de um fármaco que bloqueie o SRAA associado a um antagonista dos canais de cálcio (ACC) e a um DIU tiazídico .",OK Polimorfismos ECA e anti_hipertensivos.pdf
verbo,provocar,ambos os protocolos,provocaram,"estatisticamente significativa durante a recuperação com maior magnitude de queda provocada pela sessão de MMII ( p<0,05 )",Causa -> Efeito,"Em relação a PAS, ambos os protocolos provocaram redução estatisticamente significativa durante a recuperação com maior magnitude de queda provocada pela sessão de MMII (p<0,05).",OK Efeito agudo do treinamento de força sobre a PA.pdf
verbo,provocar,Pontos Chave -,provocaram,na PAS,Causa -> Efeito,Pontos Chave - Ambos os treinamentos de força em MMSS e MMII provocaram redução na PAS.,OK Efeito agudo do treinamento de força sobre a PA.pdf
verbo,provocar,Ambos os treinamentos de força em MMSS e MMII,provocaram,na PAS,Causa -> Efeito,Pontos Chave - Ambos os treinamentos de força em MMSS e MMII provocaram redução na PAS.,OK Efeito agudo do treinamento de força sobre a PA.pdf
substantivo (efeito),efeito,do treinamento de força sobre a pressão arterial de indivíduos normotensos treinados,Efeito,um estudo experimental,Efeito <- Causa,Efeito agudo do treinamento de força sobre a pressão arterial de indivíduos normotensos treinados: um estudo experimental Introdução,OK Efeito agudo do treinamento de força sobre a PA.pdf
verbo,promover,"uma sessão de TF multiarticular , quer seja de membros superiores ou inferiores ,",promoveu,", significativas da PAS",Causa -> Efeito,"O principal achado do presente estudo foi que uma sessão de TF multiarticular, quer seja de membros superiores ou inferiores, promoveu, de forma aguda, reduções significativas da PAS, ao longo de 60 minutos após o fim do treinamento, em indivíduos normotensos treinados.",OK Efeito agudo do treinamento de força sobre a PA.pdf
verbo,promover,ambas sessões,promovem,aumento na pressão arterial,Causa -> Efeito,"Então, os autores elucidaram que ambas sessões promovem aumento na pressão arterial imediatamente após o treino semelhantes aos valores encontrados no presente estudo.",OK Efeito agudo do treinamento de força sobre a PA.pdf
verbo,promover,O HIIT e o MICT,promoveram,"uma de 5,6 e 3,7 mmHg",Causa -> Efeito,"O HIIT e o MICT promoveram uma redução de 5,6 e 3,7 mmHg na PASp e de 4,8 e 2,4mmHg na PAD, respectivamente, em indivíduos hipertensos.18",OK Pressão arterial central e exercício.pdf
verbo,contribuir,Nossos resultados,contribuem,ao conhecimento atual,Causa -> Efeito,"Nossos resultados contribuem ao conhecimento atual em demonstrar que o HIIT parece ser superior ao MICT em reduzir PASc, com uma redução de 3,2mmHg.",OK Pressão arterial central e exercício.pdf
verbo,contribuir,"endotelial.14,30",contribuiria,para a da resistência vascular periférica,Causa -> Efeito,"endotelial.14,30 Isso contribuiria para a redução da resistência vascular periférica, o que atenuaria o desajuste na impedância entre Arq Bras Cardiol.",OK Pressão arterial central e exercício.pdf
verbo,promover,uma sessão aguda de treino de força,promove,uma dos níveis pressóricos em idosas hipertensas sob medicação,Causa -> Efeito,"Por outro lado, uma sessão aguda de treino de força promove uma redução dos níveis pressóricos em idosas hipertensas sob medicação, e após 45 minutos de recuperação há ainda, uma maior redução das variáveis hemodinâmicas.",OK ATIVIDADES FÍSICAS NA PREVENÇÃO E CONTROLE DE.pdf
verbo,reduzir,outro estudo baseado em aeróbico,reduziu,os eventos cardiovasculares,Causa -> Efeito,"Embora um programa de exercícios físicos de intensidade leve a moderada, realizado durante três meses, duas vezes por semana tenha sido eficaz na redução dos fatores de risco cardiovascular dos idosos sedentários e hipertensos estudados, outro estudo baseado em aeróbico não reduziu os eventos cardiovasculares, apesar da capacidade previamente documentada da intervenção de prevenir a incapacidade de mobilidade.",OK ATIVIDADES FÍSICAS NA PREVENÇÃO E CONTROLE DE.pdf
verbo,gerar,Mesmo pequenos avanços,geram,"um impacto importante , como no caso da hipertensão - a DCV mais prevalente nos estudos consultados ( n = 10",Causa -> Efeito,"Mesmo pequenos avanços geram um impacto importante, como no caso da hipertensão - a DCV mais prevalente nos estudos consultados (n = 10; 83,3%) - onde uma redução de apenas 3 mmHg para a pressão arterial sistólica (PAS) pode significar uma diminuição de 5-9% e 8-14% para risco cardiovascular e de infarto agudo do miocárdio (IAM), respectivamente .",OK ATIVIDADES FÍSICAS NA PREVENÇÃO E CONTROLE DE.pdf
verbo,contribuir,tal desequilíbrio,contribui,para a da PA,Causa -> Efeito,"À vista disso, os autores relatam que tal desequilíbrio contribui para a elevação da PA, por meio do aumento da contratilidade cardíaca, estímulo da musculatura vascular lisa, hipertrofia do ventrículo esquerdo e estímulo renal, resultando no acréscimo do débito cardíaco (DC), aumento da resistência vascular periférica (RVP) e maior retenção de fluidos.",OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf
verbo,contribuir,tal desequilíbrio,contribui,", estímulo da musculatura vascular lisa , hipertrofia do ventrículo esquerdo e estímulo renal",Causa -> Efeito,"À vista disso, os autores relatam que tal desequilíbrio contribui para a elevação da PA, por meio do aumento da contratilidade cardíaca, estímulo da musculatura vascular lisa, hipertrofia do ventrículo esquerdo e estímulo renal, resultando no acréscimo do débito cardíaco (DC), aumento da resistência vascular periférica (RVP) e maior retenção de fluidos.",OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf
verbo,resultar,A associação desses fatores,resulta,; ativação das vias de contração muscular lisa vascular,Causa -> Efeito,"A associação desses fatores, a longo prazo, resulta no início da disfunção vascular, que apresenta deficiência de vasodilatadores, tais como prostaciclina, óxido nítrico (NO), e peptídeos natriuréticos; ativação das vias de contração muscular lisa vascular; estresse oxidativo vascular e inflamação .",OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf
verbo,induzir,uma modesta e prolongada da ingestão de sal,induz,uma queda significativa da PA,Causa -> Efeito,"O trabalho ainda aponta que uma redução modesta e prolongada da ingestão de sal induz uma queda significativa da PA, tanto em indivíduos hipertensos como normotensos, independentemente do sexo e grupo étnico, com quedas maiores da PAS para maiores reduções do sal alimentar.",OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf
verbo,diminuir,o aumento na ingestão de potássio,diminui,os níveis pressóricos,Causa -> Efeito,"Em contrapartida, os autores revelam que o aumento na ingestão de potássio diminui os níveis pressóricos.",OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf
verbo,aumentar,", a sensibilidade barorreceptora e o aumento do fluxo de cálcio nas células musculares lisas vasculares",aumentando,a reatividade vascular,Causa -> Efeito,"A literatura mostra que a etiologia da hipertensão relacionada com o álcool é multifatorial, incluindo efeitos sobre o sistema nervoso autônomo (SNA), o eixo renina-angiotensina, a sensibilidade barorreceptora e o aumento do fluxo de cálcio nas células musculares lisas vasculares aumentando a reatividade vascular .",OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf
verbo,aumentar,o uso de tabaco,aumenta,a PA,Causa -> Efeito,"contam que o uso de tabaco aumenta a PA em torno de 5 a 10 mmHg, em média.",OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf
verbo,aumentar,a exposição ao estresse psicossocial,aumenta,o tônus simpático,Causa -> Efeito,"Conforme explicam Oparil, Zaman e Calhoun , a exposição ao estresse psicossocial aumenta o tônus simpático, além do fato de que a vasoconstrição induzida por estresse repetido pode resultar em hipertrofia vascular, levando a elevações progressivas da RVP e dos níveis pressóricos.",OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf
verbo,diminuir,Sons,diminuem,de intensidade ( abafamento ),Causa -> Efeito,Sons diminuem de intensidade (abafamento),OK Diretrizes Brasileiras de Medidas da Pressão Arterial Dentro e Fora do Consultório.pdf
verbo,promover,a calcificação da parede arterial,promove,um enrijecimento tão pronunciado que a insuflação do manguito é insuficiente para,Causa -> Efeito,"Nesses casos, a calcificação da parede arterial promove um enrijecimento tão pronunciado que a insuflação do manguito é insuficiente para colabar a artéria braquial.",OK Diretrizes Brasileiras de Medidas da Pressão Arterial Dentro e Fora do Consultório.pdf
verbo,provocar,o sintoma descrito,provocou,alguma variação da PA,Causa -> Efeito,"No laudo, deve ser mencionado se o sintoma descrito provocou alguma variação da PA, deverá ser registrado no diário se a medicação foi tomada no dia da realização do exame e deverão constar os anti-hipertensivos utilizados, bem como doses e horários das tomadas.",OK Diretrizes Brasileiras de Medidas da Pressão Arterial Dentro e Fora do Consultório.pdf
verbo,aumentar,", e a presença da SAOS pelo menos moderada , índice apneia-hipopneia > 15 eventos / hora ,",aumentou,"o risco de o paciente apresentar descenso atenuado da PA em pelo menos 1,67 vez",Causa -> Efeito,"Uma metanálise mostrou que a prevalência do descenso atenuado na PA pela MAPA em pacientes com SAOS foi de 59%, e a presença da SAOS pelo menos moderada, índice apneia-hipopneia > 15 eventos/hora, aumentou o risco de o paciente apresentar descenso atenuado da PA em pelo menos 1,67 vez.",OK Diretrizes Brasileiras de Medidas da Pressão Arterial Dentro e Fora do Consultório.pdf
verbo,promover,o tratamento com IECA + BCC,promoveu,maior da PAC.45,Causa -> Efeito,"No subestudo CAFE, embora sem diferença nos níveis de PA periférica entre os dois grupos, o tratamento com IECA + BCC promoveu maior redução da PAC.45",OK Diretrizes Brasileiras de Medidas da Pressão Arterial Dentro e Fora do Consultório.pdf
verbo,aumentar,essa transformação,aumentará,o ritmo,Causa -> Efeito,"Maugeri sugere que mudanças importantes em algumas premissas que norteavam a exploração de petróleo se apresentam como um novo componente na avaliação de projetos, que o panorama energético global vem mudando, e essa transformação aumentará o ritmo nas próximas décadas.",OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf
verbo,gerar,a decisão de abastecer com gasolina,gera,um custo de oportunidade,Causa -> Efeito,"No momento em que a maioria dos veículos produzidos no Brasil é comissionada com motorização flex fuel, o que, sem dúvidas, dá ao consumidor brasileiro uma oportunidade que muitos países não têm, o trade-off entre meio ambiente e economia, à primeira vista, como o etanol é um substituto perfeito da gasolina, com baixas emissões de poluentes, incluindo gás de efeito estufa, a decisão de abastecer com gasolina gera um custo de oportunidade elevado.",OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf
verbo,levar,"Materiais particulados em suspensão , resultado das emissões de poluentes ,",levam,a problemas respiratórios,Causa -> Efeito,"Materiais particulados em suspensão, resultado das emissões de poluentes, levam a problemas respiratórios, e o gás de efeito estufa contribui para o aquecimento global.",OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf
verbo,contribuir,", e o gás de efeito estufa",contribui,para o aquecimento global,Causa -> Efeito,"Materiais particulados em suspensão, resultado das emissões de poluentes, levam a problemas respiratórios, e o gás de efeito estufa contribui para o aquecimento global.",OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf
verbo,contribuir,"Esse comportamento , motivado pelo capitalismo ,",contribuiu,para a concentração de pessoas nos grandes centros urbanos,Causa -> Efeito,"Esse comportamento, motivado pelo capitalismo, contribuiu para a concentração de pessoas nos grandes centros urbanos, ocasionando o crescimento desordenado e com infraestruturas viárias, na maioria dos casos, inadequadas.",OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf
verbo,implicar,o acesso,implica,propriedade,Causa -> Efeito,"Chase argumenta que o conceito de compartilhamento está conduzindo à transição da economia industrial para a economia colaborativa, estabelecendo as bases para que as gerações futuras entendem melhor que o acesso não implica propriedade e que o compartilhamento faz sentido.",OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf
verbo,causar,Essa perspectiva,causado,muita preocupação,Causa -> Efeito,"Essa perspectiva tem causado muita preocupação, não apenas no âmbito governamental, mas nas organizações e, principalmente, nas pessoas.",OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf
verbo,gerar,"Essas barreiras , além de impedirem a livre circulação ,",geram,uma desigualdade social,Causa -> Efeito,"Essas barreiras, além de impedirem a livre circulação, geram uma desigualdade social.",OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf
